"ID","FAMILY_ID","DR_DATE","DR_COMMENTS","LAST_UPDATED_BY","LAST_UPDATED_DATE","CREATED_BY","CREATED_DATE"
44415,608,"17-05-2015","","",16-MAY-15 05.20.19.557000000 PM,"",16-MAY-15 05.20.19.557000000 PM
44416,610,"17-05-2015","","",16-MAY-15 05.21.02.739000000 PM,"",16-MAY-15 05.21.02.739000000 PM
71320,3724,"28-02-2016","","",27-FEB-16 04.48.08.198000000 PM,"",27-FEB-16 04.48.08.198000000 PM
44418,2265,"17-05-2015","","",16-MAY-15 05.22.00.958000000 PM,"",16-MAY-15 05.22.00.958000000 PM
44419,2266,"17-05-2015","","",16-MAY-15 05.23.11.019000000 PM,"",16-MAY-15 05.23.11.019000000 PM
44420,2267,"17-05-2015","","",16-MAY-15 05.30.54.626000000 PM,"",16-MAY-15 05.30.54.626000000 PM
44421,2268,"17-05-2015","","",16-MAY-15 05.30.58.713000000 PM,"",16-MAY-15 05.30.58.713000000 PM
44422,2269,"17-05-2015","","",16-MAY-15 05.31.18.572000000 PM,"",16-MAY-15 05.31.18.572000000 PM
44423,2270,"17-05-2015","","",16-MAY-15 05.32.12.642000000 PM,"",16-MAY-15 05.32.12.642000000 PM
44424,2271,"17-05-2015","","",16-MAY-15 05.32.16.215000000 PM,"",16-MAY-15 05.32.16.215000000 PM
44425,2272,"17-05-2015","","",16-MAY-15 05.32.37.462000000 PM,"",16-MAY-15 05.32.37.462000000 PM
44426,2273,"17-05-2015","","",16-MAY-15 05.32.56.214000000 PM,"",16-MAY-15 05.32.56.214000000 PM
44427,2276,"17-05-2015","","",16-MAY-15 05.33.20.238000000 PM,"",16-MAY-15 05.33.20.238000000 PM
71321,3725,"28-02-2016","","",27-FEB-16 04.48.14.235000000 PM,"",27-FEB-16 04.48.14.235000000 PM
44429,2049,"17-05-2015","","",16-MAY-15 05.34.19.612000000 PM,"",16-MAY-15 05.34.19.612000000 PM
44430,2050,"17-05-2015","","",16-MAY-15 05.34.43.605000000 PM,"",16-MAY-15 05.34.43.605000000 PM
44431,2051,"17-05-2015","","",16-MAY-15 05.35.59.688000000 PM,"",16-MAY-15 05.35.59.688000000 PM
44432,2052,"17-05-2015","","",16-MAY-15 05.36.05.288000000 PM,"",16-MAY-15 05.36.05.288000000 PM
44433,2053,"17-05-2015","","",16-MAY-15 05.36.27.690000000 PM,"",16-MAY-15 05.36.27.690000000 PM
44434,2055,"17-05-2015","","",16-MAY-15 05.37.15.707000000 PM,"",16-MAY-15 05.37.15.707000000 PM
44435,2056,"17-05-2015","","",16-MAY-15 05.37.37.298000000 PM,"",16-MAY-15 05.37.37.298000000 PM
44436,2057,"17-05-2015","","",16-MAY-15 05.37.46.471000000 PM,"",16-MAY-15 05.37.46.471000000 PM
44437,2058,"17-05-2015","","",16-MAY-15 05.38.08.389000000 PM,"",16-MAY-15 05.38.08.389000000 PM
44438,2059,"17-05-2015","","",16-MAY-15 05.38.30.401000000 PM,"",16-MAY-15 05.38.30.401000000 PM
